,text,favourite_count,retweet_count,created_at
0,"RT @ZagitasCorp: En el #DíaInternacionalDeLaMujer, saludamos a todas las mujeres del mundo
💪🏼 Celebremos por cada empresa que apuesta por l…",0,1,2022-03-08 16:28:12
1,"RT @Bomberos_Cuenca: #8M 👩🏻‍🚒

Desde #BomberosCuenca extendemos nuestro cordial saludo y reconocemos la labor, esfuerzo, lucha y el gran ap…",0,2,2022-03-08 16:28:00
2,"RT @dibanezgut: #8M. 

Os presento una #mujer que con su SÍ marcó el rumbo de la historia. https://t.co/4Ucv11Gj3c",0,10,2022-03-08 16:28:00
3,"En el #DíaInternacionalDeLaMujer, saludamos a todas las mujeres del mundo
💪🏼 Celebremos por cada empresa que apuesta por la equidad y promueve las mismas oportunidades de desarrollo para todos por igual.

#8M #DíaInternacionalDeLaMujer #IgualdadDeOportunidades #Mujer #Zagitas https://t.co/XMhobawsLZ",0,1,2022-03-08 16:27:55
4,"En este #DíaInternacionaldelaMujer 💜 conmemoramos la lucha de todas las mujeres en busca del reconocimiento de la equidad de género y su participación por igual.

#DíadelaMujer #8m #8Marzo2022 #8deMarzo #Mujeres #mujer #autos https://t.co/HnUzMnIMiN",0,0,2022-03-08 16:27:55
5,"RT @UTEG_ec: Hoy #8M, reiteramos nuestro compromiso con el valor de la igualdad y el respeto a los derechos de las mujeres. ¡Gracias, mujer…",0,2,2022-03-08 16:27:38
6,"RT @SaraHispania: En memoria de los 100.000 fallecidos por COVID19.
#Mujer #Mujeres
#DiaDeLaMujer #8M2022 #8Marzo2022 #8M #DiaNacionalDeLas…",0,8,2022-03-08 16:27:36
7,"8 de marzo día Internacional de la #Mujer.

“Igualdad de género hoy, para un mañana sostenible”

Fecha de recordatorio, de la necesidad de fomentar y proteger los derechos de las mujeres.

#DíaDeLaMujer
#8M https://t.co/JjZ9bwjNXx",1,0,2022-03-08 16:27:25
8,"RT @TepyGV: He conocido y trabajado con mujeres valiosas que admiro, pues están dejando huella en la historia de Quintana Roo, México y el…",0,1,2022-03-08 16:27:22
9,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:27:08
10,"RT @Bomberos_Cuenca: #8M 👩🏻‍🚒

Desde #BomberosCuenca extendemos nuestro cordial saludo y reconocemos la labor, esfuerzo, lucha y el gran ap…",0,2,2022-03-08 16:27:04
11,"💜 Diversos actos conmemoran en #Melilla el #8M, #DiaInternacionalDeLaMujer.
#8Marzo2022 #8M22 #8Marzo #Mujer #Mujeres https://t.co/u6GnZbZKXm",1,0,2022-03-08 16:27:00
12,"Cada año las @ONUMujeres celebra, conmemora y estimula el impacto de la #mujer en los diferente campos de la #sociedad ☮️👩🏾‍⚖️💕 Esta es una forma de reconocer la lucha que han llevado por años y los avances que han logrado ✊🏻

¡Estamos juntxs, estamos unidxs! 🙌

#8M https://t.co/Z5gewtTdoa",0,0,2022-03-08 16:26:51
13,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:26:24
14,"RT @FrasesNorfiPC: Gracias #Mujer por dejarme poder contar contigo.
¡Feliz #DiaDeLaMujer! #8M #DiaInternacionalDeLaMujer
https://t.co/mUT39…",0,4,2022-03-08 16:26:02
15,"Recuerden siempre alzar la voz ante la peligrosa indiferencia 

¡Feliz va ser el día que no falte ninguna! 💜💚💗

#8m #8marzo #feminismo #díaintenacionaldelamujer #mesdelamujer #mujer #derechoshumanos https://t.co/W232NKdvC5",0,0,2022-03-08 16:25:59
16,"#EventosUCuenca | Como parte del #8M, las mujeres de la comunidad universitaria plasman en papel parte de su vida en la institución, aspiraciones, logros, desafíos y lucha por alcanzar la equidad de género; por contribuir a eliminar la violencia contra la #Mujer #8Marzo2022 https://t.co/45d3qfeWKa",0,0,2022-03-08 16:25:58
17,"RT @Aguilarjimene17: ¡Sumémonos por las causas de las mujeres!

El Día Internacional de la #Mujer es una oportunidad para visibilizar el tr…",0,5,2022-03-08 16:25:56
18,"RT @animal_lex: 💜 ¡¡Feliz este y todos los días, mujeres soñadoras y luchadoras!! 😊 #8M #DíaDeLaMujer #Mujer #MujeresEmprendedoras #Mujeres…",0,2,2022-03-08 16:25:48
19,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:25:26
